fid,class,k1,k2,k3,k4,k5
70,1,0.37989,-0.03629,0.03755,0.31635,-0.1333
69,1,0.37989,0.1021,0.81739,0.27136,0.50836
68,1,0.37989,-0.03629,0.81739,0.27136,0.50836
67,1,0.37989,0.01012,0.81739,0.46057,-0.37788
66,1,0.24368,0.1021,0.81739,0.27136,-0.02813
65,1,0.37989,0.1021,0.03755,0.31635,0.50836
64,1,0.37989,0.1021,0.81739,0.46057,-0.02813
79,1,0.37989,-0.11892,-1.05396,0.46057,0.60871
78,1,0.37989,-0.03629,1.46841,0.31635,0.25369
77,1,0.37989,0.01012,-0.27807,0.79269,-0.1333
76,1,0.37989,0.01857,0.59507,0.79269,2.03478
75,1,0.37989,0.01012,0.81739,1.25739,2.03478
